product_name,product_brand,actual_price,selling_price,product_link
Men Printed Casual Button Down Shirt,Highlander,"₹1,299",₹449,flipkart.com/highlander-men-printed-casual-dark-blue-shirt/p/itmepx56zhvzwp8x?pid=SHTEPX5FSNTKXGRG&lid=LSTSHTEPX5FSNTKXGRGJIBHGA&marketplace=FLIPKART&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=f5762346-75d6-4ad9-a00c-c47c7a3cfadd.SHTEPX5FSNTKXGRG.SEARCH&ssid=iww2ro5g9c0000001591425131571&qH=c898b17e35b9f66c
Men Printed Casual Slim Shirt,Kevin Swift,"₹1,149",₹499,flipkart.com/kevin-swift-men-printed-casual-white-shirt/p/itmfh6ny9rwgpxu9?pid=DHYFHYUW2GC7CSN6&lid=LSTDHYFHYUW2GC7CSN6J7EZLT&marketplace=FLIPKART&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=en_435appBZSQN0wtRd%2FkReEEreo%2F786DSdW%2BcEGJ%2FrIro50cbg5SFf%2BTEl%2B53jGBUAFgQD15rspuj3iqpjXzzjAA%3D%3D&ssid=iww2ro5g9c0000001591425131571&qH=c898b17e35b9f66c
Men Checkered Casual Cut Away Shirt,Highlander,₹999,₹571,flipkart.com/highlander-men-checkered-casual-multicolor-shirt/p/itmfchnkktuud3gb?pid=SHTFCHNKSHUAYGH7&lid=LSTSHTFCHNKSHUAYGH7PSUMI7&marketplace=FLIPKART&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=f5762346-75d6-4ad9-a00c-c47c7a3cfadd.SHTFCHNKSHUAYGH7.SEARCH&ssid=iww2ro5g9c0000001591425131571&qH=c898b17e35b9f66c
Men Striped Casual Slim Shirt,Highlander,₹999,₹459,flipkart.com/highlander-men-striped-casual-white-shirt/p/itmfdfd8jy2ubyut?pid=SHTFF5EZTXZ74ZNG&lid=LSTSHTFF5EZTXZ74ZNGMBJURJ&marketplace=FLIPKART&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=f5762346-75d6-4ad9-a00c-c47c7a3cfadd.SHTFF5EZTXZ74ZNG.SEARCH&ssid=iww2ro5g9c0000001591425131571&qH=c898b17e35b9f66c
Men Checkered Casual Spread Shirt,Highlander,"₹1,287",₹499,flipkart.com/highlander-men-checkered-casual-multicolor-shirt/p/itmfdfd8hvgyzzag?pid=SHTEYK9QKPCSXRK3&lid=LSTSHTEYK9QKPCSXRK3EQI2K4&marketplace=FLIPKART&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=f5762346-75d6-4ad9-a00c-c47c7a3cfadd.SHTEYK9QKPCSXRK3.SEARCH&ssid=iww2ro5g9c0000001591425131571&qH=c898b17e35b9f66c
Men Self Design Casual Button Down Shirt,IndoPrimo,"₹1,799",₹649,flipkart.com/indoprimo-men-self-design-casual-dark-blue-shirt/p/itmbf7c080329ae9?pid=SHTFNAD2UGJWCDB2&lid=LSTSHTFNAD2UGJWCDB2ZOIMUA&marketplace=FLIPKART&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=f5762346-75d6-4ad9-a00c-c47c7a3cfadd.SHTFNAD2UGJWCDB2.SEARCH&ssid=iww2ro5g9c0000001591425131571&qH=c898b17e35b9f66c
Men Checkered Casual Shirt,Asian & Fitch,₹999,₹603,flipkart.com/asian-fitch-men-checkered-casual-multicolor-shirt/p/itma4b383ef5c93d?pid=SHTFPDSZWHRGUEQY&lid=LSTSHTFPDSZWHRGUEQYHQTBXS&marketplace=FLIPKART&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=f5762346-75d6-4ad9-a00c-c47c7a3cfadd.SHTFPDSZWHRGUEQY.SEARCH&ssid=iww2ro5g9c0000001591425131571&qH=c898b17e35b9f66c
Men Solid Casual Spread Shirt,SKULT by Shahid Kapoor,"₹1,888",₹899,flipkart.com/skult-shahid-kapoor-men-solid-casual-white-shirt/p/itmf7e36wuhhqhfz?pid=SHTF7E36HGTHBGHU&lid=LSTSHTF7E36HGTHBGHUCOAMNL&marketplace=FLIPKART&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=en_435appBZSQN0wtRd%2FkReEEreo%2F786DSdW%2BcEGJ%2FrIrrQlf1B9X4sqnVB4nRyAllkni2LT09DUieEdfnro0%2FsSQ%3D%3D&ssid=iww2ro5g9c0000001591425131571&qH=c898b17e35b9f66c
Men Solid Casual Button Down Shirt,FabTag - Deeksha,"₹1,299",₹399,flipkart.com/fabtag-deeksha-men-solid-casual-blue-shirt/p/itmf67ntamccgcu2?pid=SHTF67HGRSMSCVA3&lid=LSTSHTF67HGRSMSCVA3FAIDFH&marketplace=FLIPKART&srno=s_1_21&otracker=search&otracker1=search&fm=organic&iid=f5762346-75d6-4ad9-a00c-c47c7a3cfadd.SHTF67HGRSMSCVA3.SEARCH&ssid=iww2ro5g9c0000001591425131571&qH=c898b17e35b9f66c
Men Striped Casual Spread Shirt,VERO LIE,"₹1,670",₹597,flipkart.com/vero-lie-men-striped-casual-white-shirt/p/itm59e90221096dd?pid=SHTFKBFZPGHTXVR9&lid=LSTSHTFKBFZPGHTXVR9PLW7FV&marketplace=FLIPKART&srno=s_1_22&otracker=search&otracker1=search&fm=organic&iid=f5762346-75d6-4ad9-a00c-c47c7a3cfadd.SHTFKBFZPGHTXVR9.SEARCH&ssid=iww2ro5g9c0000001591425131571&qH=c898b17e35b9f66c
Men Solid Casual Spread Shirt,Zombom,"₹1,888",₹660,flipkart.com/zombom-men-solid-casual-light-blue-shirt/p/itmf3x6mkgqwhk2s?pid=SHTF36WBBJHHHZJF&lid=LSTSHTF36WBBJHHHZJF9FZABD&marketplace=FLIPKART&srno=s_1_23&otracker=search&otracker1=search&fm=organic&iid=f5762346-75d6-4ad9-a00c-c47c7a3cfadd.SHTF36WBBJHHHZJF.SEARCH&ssid=iww2ro5g9c0000001591425131571&qH=c898b17e35b9f66c
Men Printed Casual Slim Shirt,Kevin Swift,₹999,₹499,flipkart.com/kevin-swift-men-printed-casual-pink-shirt/p/itmfhf5ugczrfpam?pid=SHTFHYUV9PHWHZBK&lid=LSTSHTFHYUV9PHWHZBKVYAORL&marketplace=FLIPKART&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=en_435appBZSQN0wtRd%2FkReEEreo%2F786DSdW%2BcEGJ%2FrIroomvAleJ9sMuZLiJSSr%2FbokWI6H2XUj2gwIHlsRQdDkg%3D%3D&ssid=iww2ro5g9c0000001591425131571&qH=c898b17e35b9f66c
Men Striped Casual Spread Shirt,VERO LIE,₹999,₹699,flipkart.com/vero-lie-men-striped-casual-white-shirt/p/itme6ff2bc3a73a1?pid=SHTFSDDVR4ZNSVRK&lid=LSTSHTFSDDVR4ZNSVRK3BL0ES&marketplace=FLIPKART&srno=s_1_25&otracker=search&otracker1=search&fm=organic&iid=f5762346-75d6-4ad9-a00c-c47c7a3cfadd.SHTFSDDVR4ZNSVRK.SEARCH&ssid=iww2ro5g9c0000001591425131571&qH=c898b17e35b9f66c
